,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
24,1.1604205965995789,0.10199610907933392,0.0992879867553711,0.003907748425267686,50,"(4.0, 8.0)","{'batch_size': 50, 'layers': (4.0, 8.0)}",0.8166666626930237,0.778333306312561,0.8100000023841858,0.7866666913032532,0.7979166656732559,0.015871667378436018,10
41,0.7573567628860474,0.08324715232160815,0.08608371019363403,0.004011500515750752,100,"(16.0,)","{'batch_size': 100, 'layers': (16.0,)}",0.8166666626930237,0.7850000262260437,0.7950000166893005,0.7950000166893005,0.7979166805744171,0.01156952511385954,9
4,1.8466134667396545,0.06139849941315972,0.09706813097000122,0.0030094535256219397,20,"(4.0, 8.0)","{'batch_size': 20, 'layers': (4.0, 8.0)}",0.8166666626930237,0.7733333110809326,0.8050000071525574,0.7983333468437195,0.7983333319425583,0.01585525636692385,8
2,1.7799679040908813,0.042770505107306185,0.093258798122406,0.0016541110772257733,20,"(8.0,)","{'batch_size': 20, 'layers': (8.0,)}",0.8100000023841858,0.7900000214576721,0.7866666913032532,0.8083333373069763,0.7987500131130219,0.010499659293696844,7
57,0.7816334366798401,0.017187472656478922,0.14746040105819702,0.08712962662990464,100,"(4.0, 8.0, 8.0)","{'batch_size': 100, 'layers': (4.0, 8.0, 8.0)}",0.8233333230018616,0.7733333110809326,0.7950000166893005,0.8050000071525574,0.799166664481163,0.01804701064235148,6
21,1.0846100449562073,0.08370424377119505,0.0955045223236084,0.007021359727095334,50,"(16.0,)","{'batch_size': 50, 'layers': (16.0,)}",0.8016666769981384,0.7833333611488342,0.8116666674613953,0.800000011920929,0.7991666793823242,0.010172119978879268,5
1,1.8289145827293396,0.06997655206384185,0.09494179487228394,0.007468429337357458,20,"(16.0,)","{'batch_size': 20, 'layers': (16.0,)}",0.8133333325386047,0.8100000023841858,0.7850000262260437,0.79666668176651,0.8012500107288361,0.011265410785286636,3
0,1.8188443183898926,0.009879492825126162,0.09670072793960571,0.005045727085242233,20,"(32.0,)","{'batch_size': 20, 'layers': (32.0,)}",0.8100000023841858,0.7833333611488342,0.8033333420753479,0.8083333373069763,0.8012500107288361,0.010631115546512708,3
42,0.7029464840888977,0.004090810597289171,0.08879286050796509,0.005096096931205905,100,"(8.0,)","{'batch_size': 100, 'layers': (8.0,)}",0.8116666674613953,0.7799999713897705,0.8100000023841858,0.8050000071525574,0.8016666620969772,0.012747561954076959,2
14,1.950235366821289,0.12484952409913347,0.09980720281600952,0.0062864913048672815,20,"(8.0, 16.0)","{'batch_size': 20, 'layers': (8.0, 16.0)}",0.82833331823349,0.7833333611488342,0.7983333468437195,0.8116666674613953,0.8054166734218597,0.016598804409333198,1
