,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_dropout_rate,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
299,0.9793804287910461,0.0026159358173075994,0.08216720819473267,0.0011653812028707636,tanh,0.2,Adamax,"{'activation': 'tanh', 'dropout_rate': 0.2, 'optimizer': 'Adamax'}",0.7900000214576721,0.7333333492279053,0.7649999856948853,0.7766666412353516,0.7662499994039536,0.020962098938804692,189
300,1.300044596195221,0.08433822299148071,0.08299237489700317,0.0009024579790803899,tanh,0.2,Nadam,"{'activation': 'tanh', 'dropout_rate': 0.2, 'optimizer': 'Nadam'}",0.7933333516120911,0.7666666507720947,0.7683333158493042,0.8133333325386047,0.7854166626930237,0.019270561130428045,16
301,0.9149759411811829,0.004813956926519626,0.08264756202697754,0.0010639109927286815,tanh,0.3,SGD,"{'activation': 'tanh', 'dropout_rate': 0.3, 'optimizer': 'SGD'}",0.7933333516120911,0.7549999952316284,0.7766666412353516,0.75,0.7687499970197678,0.0173755540635628,128
302,1.1349191665649414,0.08747975948703567,0.082419753074646,0.0009941248194936306,tanh,0.3,RMSprop,"{'activation': 'tanh', 'dropout_rate': 0.3, 'optimizer': 'RMSprop'}",0.8033333420753479,0.7599999904632568,0.7850000262260437,0.8183333277702332,0.7916666716337204,0.02176260902350662,6
303,0.9353227615356445,0.009527287188131292,0.08369314670562744,0.0017963758278173815,tanh,0.3,Adagrad,"{'activation': 'tanh', 'dropout_rate': 0.3, 'optimizer': 'Adagrad'}",0.7666666507720947,0.7416666746139526,0.7649999856948853,0.746666669845581,0.7549999952316284,0.010992411148703914,472
304,0.9645439982414246,0.007726944362669175,0.08258843421936035,0.0009157222332996225,tanh,0.3,Adadelta,"{'activation': 'tanh', 'dropout_rate': 0.3, 'optimizer': 'Adadelta'}",0.47833332419395447,0.5883333086967468,0.6200000047683716,0.6816666722297668,0.5920833274722099,0.07375235998906879,516
305,1.0308798551559448,0.010858550835923669,0.12897765636444092,0.08270824707708299,tanh,0.3,Adam,"{'activation': 'tanh', 'dropout_rate': 0.3, 'optimizer': 'Adam'}",0.7850000262260437,0.753333330154419,0.7816666960716248,0.79666668176651,0.7791666835546494,0.015920819974354853,41
306,0.9763850569725037,0.012757292650055024,0.08402842283248901,0.0031092849705912457,tanh,0.3,Adamax,"{'activation': 'tanh', 'dropout_rate': 0.3, 'optimizer': 'Adamax'}",0.7749999761581421,0.7400000095367432,0.7683333158493042,0.7733333110809326,0.7641666531562805,0.014166653156280518,214
307,1.251987099647522,0.008021898869881212,0.08341377973556519,0.0010163479690007565,tanh,0.3,Nadam,"{'activation': 'tanh', 'dropout_rate': 0.3, 'optimizer': 'Nadam'}",0.7749999761581421,0.7599999904632568,0.7833333611488342,0.7916666865348816,0.7775000035762787,0.011696405031741939,51
308,0.9585408568382263,0.08750583064046137,0.08249527215957642,0.0008260175263694841,tanh,0.4,SGD,"{'activation': 'tanh', 'dropout_rate': 0.4, 'optimizer': 'SGD'}",0.7866666913032532,0.7450000047683716,0.7716666460037231,0.7549999952316284,0.7645833343267441,0.015915363210346152,208
309,1.0716503858566284,0.005571665342004973,0.08291387557983398,0.0006363221032588779,tanh,0.4,RMSprop,"{'activation': 'tanh', 'dropout_rate': 0.4, 'optimizer': 'RMSprop'}",0.7850000262260437,0.7516666650772095,0.7799999713897705,0.7649999856948853,0.7704166620969772,0.013090235844022831,101
310,0.9911543130874634,0.07792659230145726,0.08335858583450317,0.001280960339538992,tanh,0.4,Adagrad,"{'activation': 'tanh', 'dropout_rate': 0.4, 'optimizer': 'Adagrad'}",0.7666666507720947,0.7416666746139526,0.7666666507720947,0.7483333349227905,0.7558333277702332,0.011086768339865424,465
311,0.9632993936538696,0.009685999143158772,0.08245176076889038,0.0003805844037836425,tanh,0.4,Adadelta,"{'activation': 'tanh', 'dropout_rate': 0.4, 'optimizer': 'Adadelta'}",0.5683333277702332,0.5600000023841858,0.6466666460037231,0.6050000190734863,0.5949999988079071,0.03429852012718969,515
312,1.0279178023338318,0.006859801665852706,0.08197891712188721,0.0008520957354717793,tanh,0.4,Adam,"{'activation': 'tanh', 'dropout_rate': 0.4, 'optimizer': 'Adam'}",0.79666668176651,0.7416666746139526,0.7716666460037231,0.7933333516120911,0.7758333384990692,0.021937416085561788,58
313,0.9773657321929932,0.012915928562311033,0.08314275741577148,0.0016580703222277232,tanh,0.4,Adamax,"{'activation': 'tanh', 'dropout_rate': 0.4, 'optimizer': 'Adamax'}",0.778333306312561,0.7350000143051147,0.7699999809265137,0.778333306312561,0.7654166519641876,0.017887556219135514,202
314,1.2926990985870361,0.0998405670615378,0.08379173278808594,0.0023774962694044464,tanh,0.4,Nadam,"{'activation': 'tanh', 'dropout_rate': 0.4, 'optimizer': 'Nadam'}",0.7850000262260437,0.75,0.7833333611488342,0.7916666865348816,0.7775000184774399,0.01618041642743089,48
315,0.9195588827133179,0.009701706208302598,0.08402657508850098,0.001806952272456462,tanh,0.5,SGD,"{'activation': 'tanh', 'dropout_rate': 0.5, 'optimizer': 'SGD'}",0.7766666412353516,0.75,0.7683333158493042,0.7666666507720947,0.7654166519641876,0.009673479746511934,202
316,1.1237375140190125,0.088790106021909,0.08273226022720337,0.0008464759855172738,tanh,0.5,RMSprop,"{'activation': 'tanh', 'dropout_rate': 0.5, 'optimizer': 'RMSprop'}",0.8016666769981384,0.7450000047683716,0.7883333563804626,0.778333306312561,0.7783333361148834,0.020949678880256208,46
317,0.940988302230835,0.0071245342151419686,0.08352702856063843,0.0010554539981334154,tanh,0.5,Adagrad,"{'activation': 'tanh', 'dropout_rate': 0.5, 'optimizer': 'Adagrad'}",0.7666666507720947,0.7483333349227905,0.7649999856948853,0.753333330154419,0.7583333253860474,0.00772800804290327,255
318,0.9622521996498108,0.014023786663009739,0.0830182433128357,0.0008669211057424405,tanh,0.5,Adadelta,"{'activation': 'tanh', 'dropout_rate': 0.5, 'optimizer': 'Adadelta'}",0.5416666865348816,0.7383333444595337,0.6616666913032532,0.6299999952316284,0.6429166793823242,0.07048812790560437,483
319,1.0784333944320679,0.09468552846326662,0.08156347274780273,0.0006801347462230152,tanh,0.5,Adam,"{'activation': 'tanh', 'dropout_rate': 0.5, 'optimizer': 'Adam'}",0.8016666769981384,0.7400000095367432,0.7850000262260437,0.7883333563804626,0.778750017285347,0.023225198561473568,42
320,0.9813122749328613,0.007673504674065649,0.08467841148376465,0.0017375918483476733,tanh,0.5,Adamax,"{'activation': 'tanh', 'dropout_rate': 0.5, 'optimizer': 'Adamax'}",0.7850000262260437,0.7316666841506958,0.778333306312561,0.7816666960716248,0.7691666781902313,0.021778555858668665,121
321,1.2649948596954346,0.01017416814064786,0.08220362663269043,0.0010492413775194096,tanh,0.5,Nadam,"{'activation': 'tanh', 'dropout_rate': 0.5, 'optimizer': 'Nadam'}",0.7850000262260437,0.7699999809265137,0.7816666960716248,0.7850000262260437,0.7804166823625565,0.006166122870622326,38
